Categoría,Subcategoría,Archivo JSON,Descripción
Raíz,,AI product imagines.json,Workflow para generar imágenes de productos con IA
AI_Research_RAG_and_Data_Analysis,Análisis Web,Analyze tradingview.com charts with Chrome extension N8N and OpenAI.json,Análisis de gráficos de TradingView
AI_Research_RAG_and_Data_Analysis,Web Scraping,Autonomous AI crawler.json,Crawler de web autónomo
AI_Research_RAG_and_Data_Analysis,RAG,Build a Financial Documents Assistant using Qdrant and Mistral.ai.json,Asistente de documentos financieros
AI_Research_RAG_and_Data_Analysis,RAG,Building RAG Chatbot for Movie Recommendations with Qdrant and Open AI.json,Chatbot RAG para recomendaciones
Airtable,Gestión,AI Agent for project management and meetings with Airtable and Fireflies.json,Agente para gestión de proyectos
Airtable,Chat,AI Agent to chat with Airtable and analyze data.json,Asistente para consultar datos
Database_and_Storage,Chat DB,Chat with Postgresql Database.json,Chatbot para consultar PostgreSQL
Database_and_Storage,SQL,Generate SQL queries from schema only - AI-powered.json,Generador de queries SQL automático
Database_and_Storage,Chat DB,MongoDB AI Agent - Intelligent Movie Recommendations.json,Agente para MongoDB
Discord,Bots,Discord AI-powered bot.json,Bot inteligente de categorización
Discord,Automatización,Send daily translated Calvin and Hobbes Comics to Discord.json,Envío automático de cómics
Forms_and_Surveys,Formularios,Conversational Interviews with AI Agents and n8n Forms.json,Entrevistas conversacionales
Forms_and_Surveys,Suscripción,Email Subscription Service with n8n Forms Airtable and AI.json,Servicio de suscripción
Gmail_and_Email_Automation,Respuestas,A Very Simple Human in the Loop Email Response System Using AI and IMAP.json,Sistema con aprobación humana
Gmail_and_Email_Automation,Respuestas,AI-powered email processing autoresponder and response approval.json,Respuestas automáticas
Gmail_and_Email_Automation,Análisis,Analyze Sort Suspicious Email Contents with ChatGPT.json,Análisis de emails sospechosos
Gmail_and_Email_Automation,Clasificación,Auto Categorise Outlook Emails with AI.json,Categorización de Outlook
Gmail_and_Email_Automation,Etiquetado,Auto-label incoming Gmail messages with AI nodes.json,Etiquetado automático
Gmail_and_Email_Automation,Resumen,Email Summary Agent.json,Agente de resumen diario
Google_Drive_and_Google_Sheets,Publicación,Author and Publish Blog Posts From Google Sheets.json,Publicación automática de posts
Google_Drive_and_Google_Sheets,IA,Automated End-to-End Fine-Tuning of OpenAI Models with Google Drive Integration.json,Fine-tuning con Drive
Google_Drive_and_Google_Sheets,Imágenes,Automatic Background Removal for Images in Google Drive.json,Remover de fondos automático
Google_Drive_and_Google_Sheets,Chat,Chat with a Google Sheet using AI.json,Chat sobre datos de Sheets
HR_and_Recruitment,Chat,BambooHR AI-Powered Company Policies and Benefits Chatbot.json,Chatbot de políticas
HR_and_Recruitment,Procesamiento,CV Screening with OpenAI.json,Análisis automático de CVs
HR_and_Recruitment,Gestión,HR Job Posting and Evaluation with AI.json,Publicación de empleos
Instagram_Twitter_Social_Media,Chat,AI agent for Instagram DM_inbox. Manychat + Open AI integration.json,Agente para responder DMs
Instagram_Twitter_Social_Media,Diseño,Create dynamic Twitter profile banner.json,Generador de banners dinámicos
Instagram_Twitter_Social_Media,Contenido,Generate Instagram Content from Top Trends with AI Image Generation.json,Generador de contenido
Instagram_Twitter_Social_Media,Generación,OpenAI-powered tweet generator.json,Generador de tweets con IA
